"Time","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14"
10517.839,313.88390438247,180.53946528332,242.44032856175,169.45487926562,261.08196263175,258.65100055808,192.25920606423,178.82389083945,243.21100697906,175.87381741248,178.08539164439,190.87238543829,272.38423507835,195.20036698712
10527.8465,308.61498007968,180.86592178771,240.73168786634,169.12420674516,256.78772756308,255.17420074942,191.25246359465,179.34256303862,241.05862412762,175.59750109776,177.95371294043,190.41932779818,267.8819823771,194.92891619131
10537.854,305.89972111554,180.31636073424,236.97543761713,169.23659948114,254.66859629511,252.44176034442,191.69251944943,178.73164698372,238.08474576271,175.87210091414,181.2889349986,190.68824844324,265.20836489773,193.32913159679
10547.8614,300.23549800797,180.81352753392,235.2652019618,168.85455996807,250.49361226445,248.64980467193,190.53911829244,179.34368017874,236.2236889332,175.63949542932,188.19612146363,190.31614242376,261.2515051234,192.93609637401
10557.8689,297.59430278885,180.13136472466,231.56003030424,169.15477948513,248.82425742574,246.27477477478,190.73584679832,178.71245611235,233.65682951147,175.69665881602,200.03842623997,190.78584544148,258.35385351461,191.52463201564
10567.8763,291.88342629482,180.66081404629,230.03656445632,168.73095190581,244.40869530501,242.99748863908,189.75447835627,179.0778806256,231.49447657029,175.62017484332,212.23239296118,190.31694076321,254.68888800287,191.12461605968
10577.8838,289.0012749004,179.88695131684,226.33573906456,168.80530832169,242.75822420952,240.44801881528,189.86566925992,178.52717044366,229.25112662014,175.9879845116,226.78205179362,190.85901325244,251.97555918823,189.99309904663
10587.8913,283.15900398406,180.32314445331,225.17580445791,168.45871083616,238.52650910252,237.39348640676,188.91314582087,178.99920204277,227.27996011964,175.45211767993,239.46031682694,189.87474053968,248.42195287269,189.11639873948
10597.8987,280.45749003984,179.86328810854,221.80716934487,168.46701257234,236.57445704248,235.20840309336,189.35559545183,178.32732205554,225.10352941177,175.74424174684,253.66130641235,190.76923998084,246.12060922611,188.35801188719
10607.9062,275.15039840638,180.28335993615,220.67414968699,168.43029335462,233.00467103162,232.32775253129,188.4920406942,178.91697255027,223.29316051845,175.50113767914,265.20721439687,189.88112725531,243.02491926159,187.73281742391
10617.9136,272.74804780877,179.48320031923,217.64165237848,168.3520255438,231.16839667838,230.32823088575,188.73213644524,178.12472071497,221.42025922233,175.91988343779,278.29049120147,190.75486987067,240.72329651928,187.0660177909
10627.9211,267.74,180.29872306465,216.37641054269,168.3362602275,227.91472373044,227.7158175875,188.17494514263,178.89790137249,219.77595214357,175.64707995689,288.34304297514,189.99636755549,238.19795861409,186.36555107902
10637.9286,265.22760956175,179.40430965682,213.673950317,168.54583915386,226.42502395401,225.93067846608,188.26706562936,178.28878072135,217.90911266201,176.01365214962,299.66980567416,190.53660386396,235.9292691679,185.96377996729
10647.936,260.37398406375,180.14126097366,212.63543203477,168.30832169228,223.33439795593,223.4130192139,187.68856971873,178.83494254708,216.42632103689,175.79078679494,308.25194525358,189.96642982596,233.77014473107,184.99309904663
